title,artist,artistBio,gender,date,medium,artUrl,imageUrl
"Figure, I",Marcelo Bonevardi,"Argentine, 1929–1994",Male,1964,"Synthetic polymer paint on joined canvas, with wood and string",http://www.moma.org/collection/works/80187,http://www.moma.org/media/W1siZiIsIjcwMzAwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=1b1a62593022ddfa
Ring,Ron Davis,"American, born 1937",Male,1968,Polyester resin and fiberglass,http://www.moma.org/collection/works/79255,http://www.moma.org/media/W1siZiIsIjcwMzAyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=ddf02704fe8d94db
The Intellectual,Arthur Dove,"American, 1880–1946",Male,1925,"Wood box with magnifying glass, bone, moss, bark, and a scale on varnished cloth mounted on wood",http://www.moma.org/collection/works/78779,http://www.moma.org/media/W1siZiIsIjcwNDM5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=c14d3e8b6fdfb556
Attendant,Robert Ryman,"American, born 1930",Male,1984,"Oil on fiberglass with aluminum, bolts and screws",http://www.moma.org/collection/works/78947,http://www.moma.org/media/W1siZiIsIjcwNjIwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=473c3c962a306a39
Measurement Room,Mel Bochner,"American, born 1940",Male,1969,Tape and Letraset,http://www.moma.org/collection/works/79441,http://www.moma.org/media/W1siZiIsIjcxNDg2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=876e74aac81bffa3
Dis Pair,Elizabeth Murray,"American, 1940–2007",Female,fall 1989 - winter 1990,"Oil and plastic cap on canvas and wood, two parts",http://www.moma.org/collection/works/78828,http://www.moma.org/media/W1siZiIsIjcxNTQ3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=36f671d2603f8d5a
White Relief over White,Ellsworth Kelly,"American, 1923–2015",Male,2003,"Oil on canvas, two panels",http://www.moma.org/collection/works/88885,http://www.moma.org/media/W1siZiIsIjcxNTQyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=ff6419dddfc5217c
On the Art of Writing. On the Writing of Art,Marcel Broodthaers,"Belgian, 1924–1976",Male,1968,"Painted photographic canvas on cut-out composition boards, in two parts",http://www.moma.org/collection/works/79184,http://www.moma.org/media/W1siZiIsIjcxNTU2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=3fb01e7722e0bd4b
Whiteness 6,Richard Tuttle,"American, born 1941",Male,1994,"Styrofoam, paper, colored pencil, graphite, latex paint, plywood, enamel, nails, cotton cloth, galvanized metal, and masking tape",http://www.moma.org/collection/works/78610,http://www.moma.org/media/W1siZiIsIjcyNzU2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=38eacca48119aa51
The Fishes,Marcel Broodthaers,"Belgian, 1924–1976",Male,1975,"Painted and printed unstretched canvas, in nine parts",http://www.moma.org/collection/works/79206,http://www.moma.org/media/W1siZiIsIjcyODc2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=522363791730e184
Bowl of Fruit,Henri Laurens,"French, 1885–1954",Male,1922,Glazed stoneware,http://www.moma.org/collection/works/80151,http://www.moma.org/media/W1siZiIsIjcyODYwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=74d912c1b0fc1ea9
Beam,Elizabeth Murray,"American, 1940–2007",Female,November 1982,"Oil on canvas, four panels",http://www.moma.org/collection/works/79391,http://www.moma.org/media/W1siZiIsIjcyOTMwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=3bccdbad237f9ed0
"Primary Light Group: Red, Green, Blue",Jo Baer,"American, born 1929",Female,1964-65,"Oil and synthetic polymer paint on canvas, three panels",http://www.moma.org/collection/works/79825,http://www.moma.org/media/W1siZiIsIjcyOTMxIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=820a25d0c9c2893a
Dorothea,Chuck Close,"American, born 1940",Male,1995,Oil on canvas,http://www.moma.org/collection/works/80340,http://www.moma.org/media/W1siZiIsIjE0MDczMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=edc3061b5fc6690a
Two Heads,Jean (Hans) Arp,"French, born Germany Alsace. 1886–1966",Male,1927,Oil and cord on canvas,http://www.moma.org/collection/works/78687,http://www.moma.org/media/W1siZiIsIjE0MDgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=783ce15f78351135
Progression 91-A,Abraham Palatnik,"Brazilian, born 1928",Male,1965,Jacaranda wood,http://www.moma.org/collection/works/112201,http://www.moma.org/media/W1siZiIsIjE0MDQ5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7dd9357801d2c13c
Kinechromatic Device S-14,Abraham Palatnik,"Brazilian, born 1928",Male,1957-58,"Wood, metal, synthetic fabric, lightbulbs, and motor",http://www.moma.org/collection/works/112200,http://www.moma.org/media/W1siZiIsIjE0MDQ5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d40da11ce2a8dbab
Expansion in Four Directions,Max Bill,"Swiss, 1908–1994",Male,1961-62,Synthetic polymer paint on canvas,http://www.moma.org/collection/works/95064,http://www.moma.org/media/W1siZiIsIjE0MDUyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=742fef9c06715364
Planes in Modulated Surface 4,Lygia Clark,"Brazilian, 1920–1988",Female,1957,Formica and industrial paint on wood,http://www.moma.org/collection/works/116324,http://www.moma.org/media/W1siZiIsIjE0MDUyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b8ae92d282338d85
